code,name,scenario_as_of,ranking_rows,illustrative_outcome_rows,source_kind,generator
US.WMT,Walmart Inc.,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.BKNG,Booking Holdings Inc.,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.MU,"Micron Technology, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.COST,Costco Wholesale Corporation,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.CSX,CSX Corporation,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.GOOG,Alphabet Inc. Class C Capital Stock,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.RKLB,Rocket Lab Corporation,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.MNST,Monster Beverage Corporation,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.PCAR,PACCAR Inc.,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.ORLY,"O'Reilly Automotive, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.PEP,"PepsiCo, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.AMZN,"Amazon.com, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.KLAC,KLA Corporation,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.AMAT,"Applied Materials, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.ALAB,"Astera Labs, Inc.",2026-08-26,1,2,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.TMUS,"T-Mobile US, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.ABNB,"Airbnb, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.LRCX,Lam Research Corporation,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.DDOG,"Datadog, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.QCOM,QUALCOMM Incorporated,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.ADI,"Analog Devices, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.HONA,Honeywell Aerospace Inc.,2026-08-26,1,2,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.AAPL,Apple Inc.,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.PANW,"Palo Alto Networks, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.FER,Ferrovial N.V.,2026-08-26,1,2,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.INTU,Intuit Inc.,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.ROST,"Ross Stores, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.CPRT,"Copart, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.CEG,Constellation Energy Corporation,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.MRVL,"Marvell Technology, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.AXON,"Axon Enterprise, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.AMGN,Amgen Inc.,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.ADSK,"Autodesk, Inc.",2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.HON,Honeywell International Inc.,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.EXC,Exelon Corporation,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.FAST,Fastenal Company,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
US.NVDA,NVIDIA Corporation,2026-08-26,1,3,STABLE_HASH_GENERATED,scripts/generate_demo_data.py
