sample_id,code,scenario_up_score,illustrative_outcome_up,selected_scenario_case,generation_method
SYNTH-001,US.AAPL,0.511358,1,False,stable-sha256-v1
SYNTH-002,US.AMAT,0.582996,0,True,stable-sha256-v1
SYNTH-003,US.AMGN,0.329683,0,False,stable-sha256-v1
SYNTH-004,US.CMCSA,0.367193,1,False,stable-sha256-v1
SYNTH-005,US.INTC,0.336096,0,False,stable-sha256-v1
SYNTH-006,US.KLAC,0.385822,1,False,stable-sha256-v1
SYNTH-007,US.PCAR,0.51815,0,False,stable-sha256-v1
SYNTH-008,US.CTAS,0.453942,0,False,stable-sha256-v1
SYNTH-009,US.PAYX,0.354903,0,False,stable-sha256-v1
SYNTH-010,US.LRCX,0.687686,1,True,stable-sha256-v1
SYNTH-011,US.ADSK,0.37402,0,False,stable-sha256-v1
SYNTH-012,US.ROST,0.419355,0,False,stable-sha256-v1
SYNTH-013,US.MNST,0.487083,1,False,stable-sha256-v1
SYNTH-014,US.MSFT,0.46897,1,False,stable-sha256-v1
SYNTH-015,US.ADBE,0.53799,0,False,stable-sha256-v1
SYNTH-016,US.FAST,0.677192,0,True,stable-sha256-v1
SYNTH-017,US.CSCO,0.554975,1,False,stable-sha256-v1
SYNTH-018,US.REGN,0.444832,0,False,stable-sha256-v1
SYNTH-019,US.IDXX,0.685873,0,True,stable-sha256-v1
SYNTH-020,US.VRTX,0.539154,0,False,stable-sha256-v1
SYNTH-021,US.ODFL,0.581775,0,True,stable-sha256-v1
SYNTH-022,US.QCOM,0.534927,0,False,stable-sha256-v1
SYNTH-023,US.GILD,0.504959,1,False,stable-sha256-v1
SYNTH-024,US.SNPS,0.329716,1,False,stable-sha256-v1
SYNTH-025,US.SBUX,0.330195,1,False,stable-sha256-v1
SYNTH-026,US.INTU,0.650855,1,True,stable-sha256-v1
SYNTH-027,US.MCHP,0.529341,1,False,stable-sha256-v1
SYNTH-028,US.ORLY,0.48172,0,False,stable-sha256-v1
SYNTH-029,US.COST,0.353739,0,False,stable-sha256-v1
SYNTH-030,US.CPRT,0.731716,1,True,stable-sha256-v1
SYNTH-031,US.ASML,0.58233,1,True,stable-sha256-v1
SYNTH-032,US.TTWO,0.336302,1,False,stable-sha256-v1
SYNTH-033,US.AMZN,0.732971,0,True,stable-sha256-v1
SYNTH-034,US.MSTR,0.362442,0,False,stable-sha256-v1
SYNTH-035,US.NVDA,0.673,1,True,stable-sha256-v1
SYNTH-036,US.BKNG,0.514036,1,False,stable-sha256-v1
SYNTH-037,US.ISRG,0.624295,1,True,stable-sha256-v1
SYNTH-038,US.MRVL,0.513562,1,False,stable-sha256-v1
SYNTH-039,US.ADI,0.498899,1,False,stable-sha256-v1
SYNTH-040,US.AEP,0.638284,0,True,stable-sha256-v1
SYNTH-041,US.AMD,0.563802,0,True,stable-sha256-v1
SYNTH-042,US.ADP,0.392244,0,False,stable-sha256-v1
SYNTH-043,US.CDNS,0.528995,1,False,stable-sha256-v1
SYNTH-044,US.CSX,0.724773,1,True,stable-sha256-v1
SYNTH-045,US.HON,0.562637,1,True,stable-sha256-v1
SYNTH-046,US.MAR,0.550718,0,False,stable-sha256-v1
SYNTH-047,US.MU,0.739489,0,True,stable-sha256-v1
SYNTH-048,US.XEL,0.360214,0,False,stable-sha256-v1
SYNTH-049,US.EXC,0.577947,1,True,stable-sha256-v1
SYNTH-050,US.PEP,0.636634,1,True,stable-sha256-v1
SYNTH-051,US.ROP,0.619985,0,True,stable-sha256-v1
SYNTH-052,US.TER,0.683519,1,True,stable-sha256-v1
SYNTH-053,US.TXN,0.659599,0,True,stable-sha256-v1
SYNTH-054,US.WDC,0.653095,1,True,stable-sha256-v1
SYNTH-055,US.WMT,0.346901,1,False,stable-sha256-v1
SYNTH-056,US.AXON,0.58223,0,True,stable-sha256-v1
SYNTH-057,US.MDLZ,0.5186,1,False,stable-sha256-v1
SYNTH-058,US.NFLX,0.664684,0,True,stable-sha256-v1
SYNTH-059,US.STX,0.399747,0,False,stable-sha256-v1
SYNTH-060,US.ALNY,0.610514,1,True,stable-sha256-v1
SYNTH-061,US.GOOGL,0.718864,1,True,stable-sha256-v1
SYNTH-062,US.MPWR,0.5557,0,False,stable-sha256-v1
SYNTH-063,US.DXCM,0.567259,1,True,stable-sha256-v1
SYNTH-064,US.TMUS,0.530616,0,False,stable-sha256-v1
SYNTH-065,US.MELI,0.709049,0,True,stable-sha256-v1
SYNTH-066,US.KDP,0.611539,1,True,stable-sha256-v1
SYNTH-067,US.NBIS,0.535154,1,False,stable-sha256-v1
SYNTH-068,US.AVGO,0.717823,1,True,stable-sha256-v1
SYNTH-069,US.FTNT,0.518477,0,False,stable-sha256-v1
SYNTH-070,US.TSLA,0.506749,0,False,stable-sha256-v1
SYNTH-071,US.NXPI,0.492355,0,False,stable-sha256-v1
SYNTH-072,US.FANG,0.504759,0,False,stable-sha256-v1
SYNTH-073,US.META,0.353462,1,False,stable-sha256-v1
SYNTH-074,US.PANW,0.712858,1,True,stable-sha256-v1
SYNTH-075,US.WDAY,0.390614,1,False,stable-sha256-v1
SYNTH-076,US.GOOG,0.395691,0,False,stable-sha256-v1
SYNTH-077,US.PYPL,0.716129,0,True,stable-sha256-v1
SYNTH-078,US.SHOP,0.434617,1,False,stable-sha256-v1
SYNTH-079,US.KHC,0.618614,0,True,stable-sha256-v1
SYNTH-080,US.LITE,0.48452,0,False,stable-sha256-v1
SYNTH-081,US.CCEP,0.577775,1,True,stable-sha256-v1
SYNTH-082,US.BKR,0.491095,0,False,stable-sha256-v1
SYNTH-083,US.PDD,0.561943,1,True,stable-sha256-v1
SYNTH-084,US.CRWD,0.403818,1,False,stable-sha256-v1
SYNTH-085,US.DDOG,0.460188,0,False,stable-sha256-v1
SYNTH-086,US.RKLB,0.564033,1,True,stable-sha256-v1
SYNTH-087,US.PLTR,0.401604,0,False,stable-sha256-v1
SYNTH-088,US.ABNB,0.61581,0,True,stable-sha256-v1
SYNTH-089,US.DASH,0.542315,0,False,stable-sha256-v1
SYNTH-090,US.APP,0.574425,1,True,stable-sha256-v1
SYNTH-091,US.CEG,0.638546,1,True,stable-sha256-v1
SYNTH-092,US.WBD,0.451255,0,False,stable-sha256-v1
SYNTH-093,US.GEHC,0.714211,0,True,stable-sha256-v1
SYNTH-094,US.LIN,0.526272,1,False,stable-sha256-v1
SYNTH-095,US.ARM,0.441608,1,False,stable-sha256-v1
SYNTH-096,US.TRI,0.639387,1,True,stable-sha256-v1
SYNTH-097,US.FER,0.598174,1,True,stable-sha256-v1
SYNTH-098,US.ALAB,0.512058,1,False,stable-sha256-v1
SYNTH-099,US.SNDK,0.348126,1,False,stable-sha256-v1
SYNTH-100,US.CRWV,0.412404,0,False,stable-sha256-v1
SYNTH-101,US.SPCX,0.480325,0,False,stable-sha256-v1
SYNTH-102,US.HONA,0.487281,0,False,stable-sha256-v1
SYNTH-103,US.AAPL,0.613223,0,True,stable-sha256-v1
SYNTH-104,US.AMAT,0.627625,1,True,stable-sha256-v1
SYNTH-105,US.AMGN,0.573677,1,True,stable-sha256-v1
SYNTH-106,US.CMCSA,0.656779,0,True,stable-sha256-v1
SYNTH-107,US.INTC,0.572575,0,True,stable-sha256-v1
SYNTH-108,US.KLAC,0.574115,0,True,stable-sha256-v1
