scenario_as_of,code,name,illustrative_reference_value,illustrative_variation_unit,illustrative_variation_ratio,illustrative_activity_index,scenario_state,factor_trend,factor_momentum,factor_relative_strength,factor_volume_price,factor_structure,factor_risk_quality,technical_score,rule_eligible,scenario_context_available,scenario_up_score,scenario_pattern_score,illustrative_outcome_rows,ranking_value,selected_scenario_case,confirmation_reference,structural_reference,invalidation_reference,archetype
2026-08-26,US.WMT,Walmart Inc.,96.357,2.517,0.026122,42.542,ILLUSTRATIVE_NEUTRAL,85.313,65.237,57.876,61.572,49.55,76.116,79.98,True,True,0.58896,0.353927,3,0.16671739,True,97.238,94.469,92.33,Stable-hash illustrative trend scenario
2026-08-26,US.BKNG,Booking Holdings Inc.,129.126,2.467,0.019105,95.16,ILLUSTRATIVE_NEUTRAL,40.624,82.476,63.482,53.824,80.929,84.781,79.331,True,True,0.572076,0.343894,3,0.15607066,True,129.989,127.276,125.179,Stable-hash illustrative trend scenario
2026-08-26,US.MU,"Micron Technology, Inc.",378.441,11.531,0.03047,92.811,ILLUSTRATIVE_NEUTRAL,62.671,70.669,61.278,70.662,40.461,83.043,76.262,True,True,0.587339,0.32,3,0.14333327,True,382.477,369.793,359.991,Stable-hash illustrative trend scenario
2026-08-26,US.COST,Costco Wholesale Corporation,102.991,2.082,0.020215,61.555,ILLUSTRATIVE_NEUTRAL,51.146,58.252,54.363,64.795,56.537,59.623,76.772,True,True,0.574271,0.32,3,0.14108139,True,103.72,101.43,99.66,Stable-hash illustrative trend scenario
2026-08-26,US.CSX,CSX Corporation,190.6,3.331,0.017476,28.838,ILLUSTRATIVE_NEUTRAL,42.489,71.006,82.455,84.928,83.011,48.113,74.154,True,True,0.578628,0.32,3,0.13730426,True,191.766,188.102,185.27,Stable-hash illustrative trend scenario
2026-08-26,US.GOOG,Alphabet Inc. Class C Capital Stock,296.867,10.142,0.034163,87.48,ILLUSTRATIVE_NEUTRAL,52.332,56.585,56.037,53.206,82.12,55.359,79.748,True,True,0.573888,0.295605,3,0.13528783,False,300.417,289.261,280.64,Stable-hash illustrative trend scenario
2026-08-26,US.RKLB,Rocket Lab Corporation,93.721,1.831,0.019537,88.771,ILLUSTRATIVE_NEUTRAL,65.526,48.98,88.09,67.343,65.226,65.326,78.239,True,True,0.512433,0.333695,3,0.13378582,False,94.362,92.348,90.791,Stable-hash illustrative trend scenario
2026-08-26,US.MNST,Monster Beverage Corporation,313.196,6.215,0.019844,36.347,ILLUSTRATIVE_NEUTRAL,66.882,88.825,83.563,71.485,49.171,73.41,76.813,True,True,0.532786,0.326488,3,0.13361486,False,315.371,308.535,303.252,Stable-hash illustrative trend scenario
2026-08-26,US.PCAR,PACCAR Inc.,364.976,7.932,0.021733,93.707,ILLUSTRATIVE_NEUTRAL,66.734,47.358,66.016,82.969,71.666,63.09,67.661,True,True,0.566117,0.345899,3,0.1324933,False,367.752,359.027,352.285,Stable-hash illustrative trend scenario
2026-08-26,US.ORLY,"O'Reilly Automotive, Inc.",254.162,3.55,0.013967,92.537,ILLUSTRATIVE_NEUTRAL,52.649,50.639,69.629,46.57,76.551,88.116,78.738,True,True,0.543018,0.308494,3,0.13190016,False,255.405,251.5,248.482,Stable-hash illustrative trend scenario
2026-08-26,US.PEP,"PepsiCo, Inc.",258.872,7.734,0.029876,69.406,ILLUSTRATIVE_NEUTRAL,61.995,83.987,50.64,55.866,72.424,65.498,77.56,True,True,0.512245,0.331554,3,0.13172548,False,261.579,253.072,246.498,Stable-hash illustrative trend scenario
2026-08-26,US.AMZN,"Amazon.com, Inc.",447.908,14.086,0.031448,44.793,ILLUSTRATIVE_NEUTRAL,49.227,56.609,62.89,56.095,52.844,42.437,74.521,True,True,0.506413,0.346354,3,0.13070847,False,452.838,437.344,425.37,Stable-hash illustrative trend scenario
