code,name,first_date,last_date,rows,adjustment,source_url
US.MSTR,Strategy Inc,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.COST,Costco Wholesale Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ADP,"Automatic Data Processing, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.LIN,Linde plc,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.BKR,Baker Hughes Company,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.GOOG,Alphabet Inc. Class C Capital Stock,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.KHC,The Kraft Heinz Company,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ALNY,"Alnylam Pharmaceuticals, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.MRVL,"Marvell Technology, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.MELI,"MercadoLibre, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.LITE,Lumentum Holdings Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.CCEP,Coca-Cola Europacific Partners plc,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.SNDK,Sandisk Corporation,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ADBE,Adobe Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.AMAT,"Applied Materials, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.NBIS,Nebius Group N.V. Class A,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.MPWR,"Monolithic Power Systems, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.TMUS,"T-Mobile US, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.NFLX,"Netflix, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.AVGO,Broadcom Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.MAR,Marriott International,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.CRWV,"CoreWeave, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.AAPL,Apple Inc.,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.REGN,"Regeneron Pharmaceuticals, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.QCOM,QUALCOMM Incorporated,2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ABNB,"Airbnb, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.META,"Meta Platforms, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ISRG,"Intuitive Surgical, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.ORLY,"O'Reilly Automotive, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
US.PAYX,"Paychex, Inc.",2021-01-04,2026-07-20,1395,synthetic,synthetic://aegis-forecast/demo
